      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CL2XG2C27A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C27A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C27A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C27A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C27B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C27B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C27B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C27B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C27B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C27B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C28A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C28A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C28A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C28A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C28A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C28A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C28B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C28B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C28B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C28B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C28B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C28B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C29A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C29A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C29A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C29A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C29A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C29A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C29B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C29B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C29B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C29B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C29B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C29B   4.550000e-04  SR-MG-CRR-1000-H 

